"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","254","displays required email, password fields with labels and enabled Login button","Login page tests","2025-12-17","passed","2025-12-17","","","",""
"","8573","switches to Text to speech","Homepage tests","2025-12-17","passed","2025-12-17","","","",""
"","4048","should reveal promo code field with correct labels after clicking ""Apply a promo code""","Sign-up form content tests","2025-12-17","passed","2025-12-17","","","",""
"","10583","allows selecting values from all dropdowns","[ENV] Text to speech tab","2025-12-17","passed","2025-12-17","","","",""
"","2389","should have at least 1 item in the cart after adding","Shop page tests","2025-12-17","passed","2025-12-17","","","",""
"","3539","shows correct default state on Text to Speech tab","[ENV] Text to speech tab","2025-12-17","passed","2025-12-17","","","",""
"","5489","should correctly change currencies and verify prices","Shop page tests","2025-12-17","passed","2025-12-17","","","",""
"","4863","should display all required form fields and checkboxes","Sign-up form content tests","2025-12-17","passed","2025-12-17","","","",""
"","12761","allows selecting all Speed options without resetting text","[ENV] Text to speech tab","2025-12-17","passed","2025-12-17","","","",""
"","3273","Business email field should not accept invalid password","Login page tests","2025-12-17","passed","2025-12-17","","","",""
"","4104","navigates to Contact Us page","Homepage tests","2025-12-17","passed","2025-12-17","","","",""
"","11074","resets to default state after page reload","[ENV] Text to speech tab","2025-12-17","passed","2025-12-17","","","",""
"","3174","switches to Speech to text","Homepage tests","2025-12-17","passed","2025-12-17","","","",""
"","3517","allows clearing sample text and entering new text","[ENV] Text to speech tab","2025-12-17","passed","2025-12-17","","","",""
"","4854","should allow searching products and display correct results for available products","Shop page tests","2025-12-17","passed","2025-12-17","","","",""
"","943","should display The Voice Network heading","Homepage tests","2025-12-17","passed","2025-12-17","","","",""
"","7547","switches to HD Voice AI","Homepage tests","2025-12-17","passed","2025-12-17","","","",""
"","5231","displays required fields with labels and enabled Submit button","Contact Us form tests","2025-12-17","passed","2025-12-17","","","",""
"","11652","keeps text input value after dropdown changes","[ENV] Text to speech tab","2025-12-17","passed","2025-12-17","","","",""
"","2244","should show an empty cart after removing the last product","Shop page tests","2025-12-17","passed","2025-12-17","","","",""
